image,method,mode,base_reward,mean_abs_importance,top1_importance,negative_fraction,n_superpixels
183f3c78,lime,black,9.3026,0.3669,2.2696,0.3188,69
f266ed95,lime,black,8.5153,0.4305,4.2674,0.2222,54
a53e4ccc,lime,black,11.667,0.4136,4.1133,0.2973,37
9a1a949a,lime,black,12.0544,0.2166,1.5892,0.3731,67
eaa351af,lime,black,6.6819,0.2463,1.3578,0.1948,77
5690f96f,lime,black,9.8784,0.2657,3.6312,0.2703,74
5ea2567e,lime,black,10.2714,0.6356,2.697,0.1667,60
d977f847,lime,black,14.4634,0.4888,2.7097,0.3205,78
dae811d1,lime,black,7.5724,0.3807,3.716,0.2679,56
4ebe4ec3,lime,black,12.3307,0.4359,1.6648,0.1064,47
5504eb69,lime,black,11.5921,0.2176,5.1487,0.3182,88
ae9889bf,lime,black,8.1683,0.4613,6.0167,0.3108,74
601dfdf2,lime,black,4.3605,0.3753,6.4322,0.4524,84
14d6bb54,lime,black,7.6433,0.3834,2.2191,0.2,65
06842ff3,lime,black,9.5891,0.3542,4.4909,0.3548,62
89b64556,lime,black,14.8813,0.4189,3.3139,0.2113,71
25e406d3,lime,black,10.3956,0.3291,4.3865,0.28,75
9b1cb600,lime,black,9.1797,0.1786,1.4813,0.2206,68
fc641478,lime,black,11.9359,0.6924,3.9627,0.3333,27
7a09cfa0,lime,black,7.7826,0.2696,2.6172,0.2535,71
927d556f,lime,black,9.1953,0.4746,5.1978,0.1549,71
f81c7de4,lime,black,11.7411,0.2561,1.5334,0.3778,90
577d09f9,lime,black,7.8326,0.3857,8.0185,0.2857,84
001c2723,lime,black,10.4855,0.3265,2.6275,0.1591,44
047eb1a3,lime,black,9.4912,0.4295,2.4755,0.3333,66
cefb4080,lime,black,9.0221,0.2986,2.5246,0.3276,58
e0d29681,lime,black,14.1898,0.2678,1.0225,0.193,57
a0eb9910,lime,black,12.1981,0.329,2.1848,0.3803,71
a57a9e5c,lime,black,8.2136,0.347,4.7079,0.2683,82
002210b7,lime,black,12.6817,0.2627,3.0834,0.3231,65
c4da57ac,lime,black,7.5608,0.1743,2.0949,0.4868,76
2f466312,lime,black,12.4594,0.486,5.5602,0.3059,85
0748f1b0,lime,black,6.3206,0.2588,2.4472,0.4,80
56130b57,lime,black,13.0864,0.4508,7.056,0.2329,73
60f602ac,lime,black,9.2829,0.2317,1.8805,0.3088,68
0ad54dec,lime,black,10.4219,0.3771,3.3034,0.2105,76
023667bc,lime,black,11.9514,0.649,3.568,0.1429,42
8d11ee8a,lime,black,14.4149,0.3272,1.8046,0.3333,66
91d4170f,lime,black,14.4863,0.5828,7.5266,0.2464,69
ead82a7e,lime,black,9.4541,0.2869,2.3935,0.2911,79
0dd86fcb,lime,black,14.0359,0.6921,5.6813,0.2,50
07333fd0,lime,black,9.5023,0.2861,2.3667,0.3889,90
74d745bf,lime,black,12.5353,0.5179,4.2342,0.2766,47
f6d77bd5,lime,black,14.016,0.5985,4.6634,0.2586,58
7d26c82f,lime,black,14.603,0.3443,3.5715,0.2394,71
bc6d4f34,lime,black,8.9443,0.3702,3.737,0.2466,73
7c94b234,lime,black,14.6976,0.2107,0.9206,0.1974,76
6ca521c2,lime,black,13.8104,0.2833,2.4988,0.3585,53
0bf6d055,lime,black,15.0798,0.3717,6.1829,0.25,76
d7b6be10,lime,black,9.7163,0.2388,1.793,0.3824,68
b998a060,lime,black,7.826,0.5344,3.854,0.2899,69
d0f0787a,lime,black,11.4659,0.5129,4.0303,0.3125,48
1d641fa8,lime,black,11.3355,0.6007,5.8522,0.2063,63
7f1e1680,lime,black,10.2316,0.188,0.6202,0.2424,66
5fcc7c2c,lime,black,15.253,0.5572,7.5405,0.2667,75
9978f229,lime,black,8.7229,0.2611,2.2662,0.26,50
5582d290,lime,black,9.3322,0.1196,1.7419,0.2794,68
b0f5e1c4,lime,black,6.8907,0.1431,0.9281,0.3187,91
1a42e12b,lime,black,10.2988,0.4503,2.7002,0.2152,79
cc2fbd21,lime,black,11.4776,0.2165,2.1008,0.4146,82
6d1e9865,lime,black,9.1381,0.259,2.3096,0.4028,72
8b8f0909,lime,black,13.9572,0.1914,1.9565,0.3239,71
bce06b44,lime,black,10.9326,0.2719,3.5987,0.3623,69
b99bec61,lime,black,13.9473,0.4012,3.7916,0.2838,74
9f4bb4c7,lime,black,7.8562,0.2792,1.9803,0.2632,76
9c35db4f,lime,black,7.77,0.3715,7.6247,0.2533,75
92415a1a,lime,black,12.9644,0.1854,1.4079,0.2,45
4cb1d9fb,lime,black,12.1087,0.182,1.3433,0.2597,77
d8403139,lime,black,9.9216,0.4624,4.3865,0.2468,77
a27a1723,lime,black,11.7159,0.3771,3.7121,0.3,50
db4f6c51,lime,black,12.6367,0.2332,1.7158,0.2208,77
1c522730,lime,black,12.0952,0.386,2.4164,0.3857,70
3a64ad19,lime,black,4.046,0.2715,2.8453,0.3649,74
41003c46,lime,black,6.2018,0.4118,4.5952,0.4096,83
014fafe5,lime,black,8.508,0.3228,2.5973,0.3382,68
5e5334ce,lime,black,6.4633,0.4225,2.8089,0.2286,70
66ea2468,lime,black,6.5966,0.3025,3.3738,0.3014,73
73f5615f,lime,black,6.1634,0.4057,2.642,0.2857,84
e0644a38,lime,black,11.2119,0.2894,2.5865,0.1765,85
ef87eebb,lime,black,12.4951,0.2582,2.0192,0.375,72
3040b049,lime,black,11.7074,0.2371,2.4493,0.2895,76
7908ec90,lime,black,12.1097,0.1837,2.0399,0.1571,70
ebc78d2e,lime,black,15.7044,0.3907,3.0063,0.2603,73
38db7466,lime,black,11.125,0.365,6.3639,0.3016,63
0c217725,lime,black,7.9354,0.1294,0.869,0.1897,58
f9aeaa10,lime,black,14.0751,0.404,4.9282,0.2375,80
5e89d09b,lime,black,10.735,0.5081,3.7946,0.2676,71
92c51da3,lime,black,8.1566,0.3994,3.6614,0.3333,81
647383a5,lime,black,8.2873,0.2761,4.9075,0.3553,76
18bca469,lime,black,10.866,0.3833,4.5757,0.4074,81
671140d7,lime,black,15.649,0.3803,2.3705,0.2727,88
