image,method,mode,base_reward,mean_abs_importance,top1_importance,negative_fraction,n_superpixels
38eb6939,occlusion,mean,9.1089,2.5333,9.9331,0.1429,7
38eb6939,lime,black,9.1089,2.1812,9.3672,0.1429,7
38eb6939,lime,mean,9.1089,2.1014,9.1793,0.1429,7
38eb6939,occlusion,gray,9.1089,1.3907,4.3403,0.2857,7
38eb6939,occlusion,black,9.1089,2.2677,9.0664,0.1429,7
38eb6939,lime,blur,9.1089,1.4082,6.2017,0.2857,7
38eb6939,lime,gray,9.1089,0.9282,3.028,0.0,7
38eb6939,occlusion,blur,9.1089,1.5644,6.4861,0.1429,7
example1,lime,gray,10.8235,3.4315,3.4315,0.0,1
example1,lime,black,10.8235,21.1814,21.1814,0.0,1
example1,occlusion,mean,10.8235,20.4665,20.4665,0.0,1
example1,lime,blur,10.8235,9.4093,9.4093,0.0,1
example1,lime,mean,10.8235,20.5325,20.5325,0.0,1
example1,occlusion,blur,10.8235,9.2617,9.2617,0.0,1
example1,occlusion,gray,10.8235,3.4311,3.4311,0.0,1
example1,occlusion,black,10.8235,21.1154,21.1154,0.0,1
0f019494,occlusion,blur,15.5097,1.4913,8.0537,0.3,10
0f019494,lime,mean,15.5097,2.8155,17.8321,0.1,10
0f019494,occlusion,black,15.5097,2.8965,16.9882,0.2,10
0f019494,occlusion,gray,15.5097,0.9029,3.9525,0.2,10
0f019494,lime,gray,15.5097,0.7582,3.3772,0.3,10
0f019494,occlusion,mean,15.5097,2.75,17.8338,0.1,10
0f019494,lime,black,15.5097,3.0399,19.0491,0.1,10
0f019494,lime,blur,15.5097,1.6014,8.0359,0.0,10
e7361205,occlusion,black,11.1821,3.6271,7.4889,0.0,8
e7361205,lime,mean,11.1821,2.0932,7.1451,0.0,8
e7361205,occlusion,mean,11.1821,3.0806,7.4454,0.0,8
e7361205,lime,gray,11.1821,1.1363,2.5743,0.125,8
e7361205,lime,black,11.1821,2.6939,8.4113,0.125,8
e7361205,occlusion,blur,11.1821,1.7783,5.3162,0.0,8
e7361205,occlusion,gray,11.1821,1.9723,4.1475,0.125,8
e7361205,lime,blur,11.1821,1.6847,5.48,0.125,8
047eb1a3,occlusion,gray,9.4912,0.9181,3.7822,0.2857,7
047eb1a3,lime,black,9.4912,3.2618,16.4853,0.0,7
047eb1a3,occlusion,blur,9.4912,1.6251,6.4593,0.4286,7
047eb1a3,lime,mean,9.4912,3.2917,15.6756,0.1429,7
047eb1a3,occlusion,black,9.4912,3.1541,15.5467,0.2857,7
047eb1a3,lime,blur,9.4912,1.7076,6.6934,0.2857,7
047eb1a3,occlusion,mean,9.4912,3.378,15.738,0.2857,7
047eb1a3,lime,gray,9.4912,0.8211,3.7482,0.2857,7
example2,lime,gray,7.1633,0.2496,1.9087,0.1,10
example2,lime,black,7.1633,1.7331,13.7805,0.0,10
example2,lime,blur,7.1633,0.6105,4.837,0.4,10
example2,occlusion,mean,7.1633,1.5798,13.5001,0.4,10
example2,occlusion,blur,7.1633,0.7015,5.1663,0.1,10
example2,lime,mean,7.1633,1.6038,13.8231,0.2,10
example2,occlusion,black,7.1633,2.1655,15.0092,0.3,10
example2,occlusion,gray,7.1633,0.3088,1.958,0.3,10
d534420e,lime,black,9.579,9.9369,19.8492,0.0,2
d534420e,lime,gray,9.579,1.4235,2.8124,0.0,2
d534420e,occlusion,gray,9.579,1.4402,2.8019,0.0,2
d534420e,lime,blur,9.579,9.1189,18.2037,0.0,2
d534420e,occlusion,black,9.579,9.9503,19.8591,0.0,2
d534420e,occlusion,blur,9.579,9.1258,18.2291,0.0,2
d534420e,lime,mean,9.579,9.9402,19.863,0.0,2
d534420e,occlusion,mean,9.579,9.9573,19.875,0.0,2
