image,mode,spearman_occ_vs_lime
38eb6939,gray,0.28
38eb6939,mean,0.28
38eb6939,blur,0.429
38eb6939,black,0.381
e7361205,gray,0.482
e7361205,mean,0.589
e7361205,blur,0.539
e7361205,black,0.448
047eb1a3,gray,0.398
047eb1a3,mean,0.439
047eb1a3,blur,0.576
047eb1a3,black,0.435
