image,method,mode,base_reward,mean_abs_importance,top1_importance,negative_fraction,n_superpixels
183f3c78,lime,black,9.3026,3.4301,19.0687,0.5,6
f266ed95,lime,black,8.5153,3.7656,18.7301,0.8,5
a53e4ccc,lime,black,11.667,10.9663,21.9131,0.5,2
9a1a949a,lime,black,12.0544,3.5756,6.9537,0.0,4
eaa351af,lime,black,6.6819,8.4705,16.893,0.0,2
5690f96f,lime,black,9.8784,1.6117,6.4189,0.2857,7
5ea2567e,lime,black,10.2714,2.3908,19.6072,0.3333,9
d977f847,lime,black,14.4634,3.1505,20.8468,0.0,9
dae811d1,lime,black,7.5724,17.919,17.919,0.0,1
4ebe4ec3,lime,black,12.3307,22.5372,22.5372,0.0,1
5504eb69,lime,black,11.5921,1.9486,5.1486,0.0,8
ae9889bf,lime,black,8.1683,1.9358,10.5103,0.2,10
601dfdf2,lime,black,4.3605,1.9059,12.2902,0.0,9
14d6bb54,lime,black,7.6433,1.3637,8.9965,0.2,10
06842ff3,lime,black,9.5891,19.9078,19.9078,0.0,1
89b64556,lime,black,14.8813,3.8682,11.0158,0.4286,7
25e406d3,lime,black,10.3956,3.057,6.3348,0.0,8
9b1cb600,lime,black,9.1797,3.8971,19.3783,0.6,5
fc641478,lime,black,11.9359,22.177,22.177,0.0,1
7a09cfa0,lime,black,7.7826,1.6139,8.216,0.0,8
927d556f,lime,black,9.1953,9.7187,19.4017,0.0,2
f81c7de4,lime,black,11.7411,11.3576,22.0422,0.0,2
577d09f9,lime,black,7.8326,1.8457,5.8957,0.0,10
001c2723,lime,black,10.4855,20.7163,20.7163,0.0,1
047eb1a3,lime,black,9.4912,3.3458,16.5046,0.1429,7
cefb4080,lime,black,9.0221,19.2856,19.2856,0.0,1
e0d29681,lime,black,14.1898,24.425,24.425,0.0,1
a0eb9910,lime,black,12.1981,1.5512,5.3014,0.2222,9
a57a9e5c,lime,black,8.2136,1.6295,5.4513,0.1,10
002210b7,lime,black,12.6817,2.5135,8.5734,0.1429,7
c4da57ac,lime,black,7.5608,2.5381,15.0234,0.1429,7
2f466312,lime,black,12.4594,22.7107,22.7107,0.0,1
0748f1b0,lime,black,6.3206,16.6417,16.6417,0.0,1
56130b57,lime,black,13.0864,3.1176,9.9559,0.0,9
60f602ac,lime,black,9.2829,6.6818,19.5915,0.0,3
0ad54dec,lime,black,10.4219,2.4024,8.5997,0.1111,9
023667bc,lime,black,11.9514,3.8499,21.673,0.3333,6
