image,method,mode,base_reward,mean_abs_importance,top1_importance,negative_fraction,n_superpixels
8d11ee8a,lime,black,14.4149,3.5434,6.4856,0.3333,6
91d4170f,lime,black,14.4863,7.0943,24.0775,0.25,4
ead82a7e,lime,black,9.4541,6.933,19.7733,0.0,3
0dd86fcb,lime,black,14.0359,2.6543,8.1439,0.0,10
07333fd0,lime,black,9.5023,2.5463,10.4532,0.4286,7
74d745bf,lime,black,12.5353,11.4433,22.7684,0.0,2
f6d77bd5,lime,black,14.016,3.3975,13.479,0.0,9
7d26c82f,lime,black,14.603,3.6353,9.0635,0.25,8
bc6d4f34,lime,black,8.9443,19.222,19.222,0.0,1
7c94b234,lime,black,14.6976,24.9901,24.9901,0.0,1
6ca521c2,lime,black,13.8104,1.7837,7.5479,0.125,8
0bf6d055,lime,black,15.0798,3.5773,12.6888,0.2222,9
d7b6be10,lime,black,9.7163,2.5878,8.9842,0.0,6
b998a060,lime,black,7.826,2.4889,17.3023,0.0,8
d0f0787a,lime,black,11.4659,2.2091,7.8637,0.0,10
1d641fa8,lime,black,11.3355,2.7532,13.0434,0.0,10
7f1e1680,lime,black,10.2316,20.5074,20.5074,0.0,1
5fcc7c2c,lime,black,15.253,2.674,8.4115,0.1111,9
9978f229,lime,black,8.7229,0.9846,3.5128,0.1,10
5582d290,lime,black,9.3322,9.7811,19.5387,0.0,2
b0f5e1c4,lime,black,6.8907,2.2631,12.1551,0.1667,6
1a42e12b,lime,black,10.2988,5.6384,20.325,0.0,4
cc2fbd21,lime,black,11.4776,1.4611,7.9939,0.0,9
6d1e9865,lime,black,9.1381,1.9016,7.0217,0.0,7
8b8f0909,lime,black,13.9572,2.3308,5.9986,0.1429,7
bce06b44,lime,black,10.9326,2.6733,7.075,0.0,5
b99bec61,lime,black,13.9473,4.5595,10.8113,0.0,6
9f4bb4c7,lime,black,7.8562,9.0353,18.0704,0.5,2
9c35db4f,lime,black,7.77,2.4442,7.2884,0.0,8
92415a1a,lime,black,12.9644,3.5408,17.4686,0.0,6
4cb1d9fb,lime,black,12.1087,1.3949,3.3219,0.0,10
d8403139,lime,black,9.9216,3.5462,19.5693,0.1667,6
a27a1723,lime,black,11.7159,21.9439,21.9439,0.0,1
db4f6c51,lime,black,12.6367,3.7772,22.3191,0.1667,6
1c522730,lime,black,12.0952,4.494,22.329,0.4,5
3a64ad19,lime,black,4.046,4.5136,8.0773,0.3333,3
41003c46,lime,black,6.2018,3.4581,10.7517,0.1429,7
014fafe5,lime,black,8.508,4.1415,15.1292,0.0,4
5e5334ce,lime,black,6.4633,16.7433,16.7433,0.0,1
66ea2468,lime,black,6.5966,16.8644,16.8644,0.0,1
73f5615f,lime,black,6.1634,16.4317,16.4317,0.0,1
e0644a38,lime,black,11.2119,4.0757,15.9831,0.2,5
ef87eebb,lime,black,12.4951,5.8227,22.7048,0.0,4
3040b049,lime,black,11.7074,1.6628,6.8848,0.0,9
7908ec90,lime,black,12.1097,1.8244,5.1895,0.0,8
ebc78d2e,lime,black,15.7044,2.8101,7.4389,0.0,8
38db7466,lime,black,11.125,1.8479,6.4497,0.25,8
0c217725,lime,black,7.9354,3.0574,18.2344,0.6667,6
f9aeaa10,lime,black,14.0751,2.9118,13.3925,0.0,9
5e89d09b,lime,black,10.735,2.6692,9.6023,0.25,8
92c51da3,lime,black,8.1566,2.3294,18.1637,0.0,8
647383a5,lime,black,8.2873,1.4344,6.3943,0.1,10
18bca469,lime,black,10.866,3.7368,11.6963,0.0,8
671140d7,lime,black,15.649,25.8625,25.8625,0.0,1
