image,method,mode,base_reward,mean_abs_importance,top1_importance,negative_fraction,n_superpixels
66ea2468,occlusion,gray,6.5966,2.3271,2.3271,0.0,1
66ea2468,occlusion,black,6.5966,16.8953,16.8953,0.0,1
66ea2468,occlusion,mean,6.5966,16.827,16.827,0.0,1
66ea2468,occlusion,blur,6.5966,13.5762,13.5762,0.0,1
89b64556,occlusion,blur,14.8813,3.7493,7.6057,0.1429,7
89b64556,occlusion,black,14.8813,3.2879,9.031,0.1429,7
89b64556,occlusion,gray,14.8813,1.4946,5.3245,0.0,7
89b64556,occlusion,mean,14.8813,4.6109,11.1364,0.0,7
f266ed95,occlusion,mean,8.5153,3.7994,18.7823,0.2,5
f266ed95,occlusion,blur,8.5153,1.3602,6.5786,0.2,5
f266ed95,occlusion,gray,8.5153,0.7654,3.6821,0.2,5
f266ed95,occlusion,black,8.5153,3.774,18.7659,0.0,5
183f3c78,occlusion,gray,9.3026,0.4006,1.7094,0.3333,6
183f3c78,occlusion,blur,9.3026,1.4467,6.7058,0.0,6
183f3c78,occlusion,mean,9.3026,3.6478,19.0032,0.1667,6
183f3c78,occlusion,black,9.3026,3.5139,19.2529,0.1667,6
38db7466,occlusion,black,11.125,1.9299,5.9181,0.125,8
38db7466,occlusion,blur,11.125,1.7857,5.5048,0.25,8
38db7466,occlusion,mean,11.125,2.098,6.1171,0.375,8
38db7466,occlusion,gray,11.125,1.1152,3.5776,0.375,8
92c51da3,occlusion,mean,8.1566,2.3744,18.4137,0.25,8
92c51da3,occlusion,blur,8.1566,1.0993,7.9577,0.25,8
92c51da3,occlusion,gray,8.1566,0.5984,3.9743,0.0,8
92c51da3,occlusion,black,8.1566,2.4461,18.4159,0.375,8
b99bec61,occlusion,black,13.9473,4.4839,10.9864,0.1667,6
b99bec61,occlusion,blur,13.9473,4.0157,10.0802,0.1667,6
b99bec61,occlusion,gray,13.9473,2.5095,7.282,0.1667,6
b99bec61,occlusion,mean,13.9473,4.916,12.1178,0.1667,6
0dd86fcb,occlusion,mean,14.0359,3.5682,7.6681,0.1,10
0dd86fcb,occlusion,gray,14.0359,1.239,3.4864,0.0,10
0dd86fcb,occlusion,blur,14.0359,2.6594,7.1558,0.1,10
0dd86fcb,occlusion,black,14.0359,2.6104,7.3904,0.1,10
7908ec90,occlusion,blur,12.1097,2.3545,4.6691,0.125,8
7908ec90,occlusion,gray,12.1097,1.5521,5.433,0.0,8
7908ec90,occlusion,mean,12.1097,3.0051,5.5069,0.0,8
7908ec90,occlusion,black,12.1097,2.2475,5.7719,0.125,8
002210b7,occlusion,black,12.6817,2.1598,7.5228,0.0,7
002210b7,occlusion,blur,12.6817,1.8387,5.5128,0.1429,7
002210b7,occlusion,mean,12.6817,2.5865,8.675,0.2857,7
002210b7,occlusion,gray,12.6817,0.2388,0.9196,0.2857,7
9c35db4f,occlusion,blur,7.77,1.7869,3.8224,0.125,8
9c35db4f,occlusion,mean,7.77,3.5453,10.5568,0.0,8
9c35db4f,occlusion,black,7.77,2.0107,5.9669,0.125,8
9c35db4f,occlusion,gray,7.77,1.4034,4.482,0.125,8
a53e4ccc,occlusion,gray,11.667,2.5094,4.9923,0.5,2
a53e4ccc,occlusion,blur,11.667,6.7593,13.516,0.5,2
a53e4ccc,occlusion,mean,11.667,10.9692,21.929,0.5,2
a53e4ccc,occlusion,black,11.667,10.9612,21.921,0.0,2
dae811d1,occlusion,blur,7.5724,10.1097,10.1097,0.0,1
dae811d1,occlusion,black,7.5724,17.8716,17.8716,0.0,1
dae811d1,occlusion,mean,7.5724,17.8398,17.8398,0.0,1
